	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single	GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0037678	15.0000600397835	7.59804326543983	24.8889923287643	16.5317654546492	61.5783057994392	74.7103107277373	39.8568513695387	FBgn0037678	34.3091898550503	1.73831958366977	0.417624389117384	4.1623995843336	3.14920642258393e-05	0.000648661541946991	chr3R	9330884	9331885	-	protein_coding	CG16749
FBgn0015568	140.000560371312	173.235386452028	113.556027499987	138.766637301147	309.123095113185	307.806480198278	262.740559686038	FBgn0015568	206.461249517425	1.02065687359025	0.181842797981083	5.61285288679083	1.99017791692692e-08	7.11447485922926e-07	chr3R	7545732	7549124	-	protein_coding	alpha-Est1
FBgn0265276	60.0002401591339	57.7451288173427	77.7781010273883	93.1790416534776	227.839731457925	237.578788114205	304.695140075026	FBgn0265276	151.2594530435	1.8717830682193	0.219798923822761	8.51588822941027	1.65318224413171e-17	2.04309708485478e-15	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0039827	425.835037796075	469.559073804181	497.779846575285	383.737343583676	34.483851247686	17.9304745746569	26.2216127431176	FBgn0039827	265.07817718924	-4.06479141979196	0.218093453770094	-18.6378423997857	1.585062351818e-77	1.95891062936822e-74	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0039109	663.33598842598	585.049331438867	631.558180342393	586.126229755746	261.092016589622	224.130932183212	240.714404981819	FBgn0039109	456.001011959663	-1.34506168472093	0.13512539547348	-9.95417389905004	2.41822872323643e-23	5.23002417117959e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	815.836598830446	679.26506793032	840.003491095794	765.470836809213	317.744057925106	339.184810703927	330.916752818144	FBgn0063649	584.060230873279	-1.23006118968069	0.128864712637391	-9.54536866226461	1.35624359633437e-21	2.49635390465716e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0039098	491.668634637347	405.735510374487	326.668024315031	365.702690360423	203.208409138149	189.764189248453	194.03993429907	FBgn0039098	310.969627481851	-1.00171131530618	0.169898931612928	-5.89592474653303	3.7258876178524e-09	1.4991931991647e-07	chr3R	23677357	23678421	+	protein_coding	GILT3
FBgn0002773	36.6668134305818	72.9412153482223	48.2224226369808	48.5933711848781	29.5575867837308	20.9188870037664	25.6971804882552	FBgn0002773	40.3710681252022	-1.02154238982098	0.364716576336511	-2.80092119772049	0.0050956960627068	0.0468468295839283	chr3R	30171437	30174551	-	protein_coding	Mlc2
FBgn0038865	390.834897703247	367.745294047288	331.334710376674	309.093917742987	188.429615746284	167.351096030131	163.098431262191	FBgn0038865	273.983994701258	-1.0265488619122	0.163549597925561	-6.27668227212293	3.45873863136201e-10	1.71962918965016e-08	chr3R	21159237	21161092	-	protein_coding	cDIP
FBgn0026562	52358.5429055331	86742.3011355672	76933.4308502309	51848.1251290858	15635.9634085936	14360.8159280857	9200.6394793051	FBgn0026562	43868.5455480573	-2.46933030084869	0.0864496432862815	-28.56379976805	1.89316418955123e-179	1.63777634038077e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0038149	674.16936512138	737.010196747663	668.891668835539	670.287944797597	1641.67763261305	1406.04804789602	1328.9113338212	FBgn0038149	1018.14231283321	1.06073565133088	0.111431030400726	9.51921244483059	1.74496434583041e-21	3.1449346991206e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0051477	25.0001000663058	30.3921730617593	29.5556783904076	29.0558301930199	48.0310785235626	50.8030112948613	78.6648382293527	FBgn0051477	41.6432442513242	1.1104882378024	0.349495733304403	3.17740141575689	0.00148601201073555	0.0172325601942	chr3R	10121772	10122320	+	protein_coding	ATPsynepsilonL
FBgn0038484	49.1668634637347	36.4706076741112	34.2223644520509	23.5452417081368	11.0840950438991	16.4362683601022	14.6841031361458	FBgn0038484	26.5156491197401	-1.33542620208232	0.462365394830449	-2.88824859518742	0.00387393569810818	0.0376555255329594	chr3R	17136110	17137195	+	protein_coding	CG5246
FBgn0265274	17.5000700464141	36.4706076741112	26.444554349312	34.566418677903	73.893966959327	70.227692084073	71.8472189161422	FBgn0265274	47.2786469581832	1.30485953104679	0.345182994055393	3.78019645671591	0.000156704661798766	0.00259206888952414	chr3R	28853605	28859497	-	protein_coding	Inx3
FBgn0037223	37.5001500994587	30.3921730617593	34.2223644520509	45.5875956476691	9.85252892791027	7.47103107277373	6.29318705834822	FBgn0037223	24.4741471885672	-2.26842081035951	0.490644551850235	-4.62334861725301	3.77594333132571e-06	9.69308182768507e-05	chr3R	4243605	4245511	+	pseudogene	TwdlU
FBgn0037290	26.6667734040595	12.1568692247037	15.5556202054777	15.5298402755796	128.082876062834	129.995940666263	159.427405478155	FBgn0037290	69.6307607595817	3.07890588329557	0.320888781024214	9.59493153194173	8.39728354119744e-22	1.61433110921998e-19	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0051125	16.6667333775372	15.1960865308797	14.0000581849299	19.5375409918582	38.1785495956523	44.8261864366424	37.234690095227	FBgn0051125	26.5199778875324	1.2794720680697	0.420502743623353	3.04271990485687	0.0023445044540228	0.0252895056477384	chr3R	24653370	24654820	-	protein_coding	CG31125
FBgn0038381	226.667573934506	191.470690289084	157.111764075324	169.325355262771	80.051797539271	83.6755480150657	90.2023478363245	FBgn0038381	142.643582421764	-1.1083516046613	0.210922154802959	-5.25478988063966	1.48193561942776e-07	4.87461028276408e-06	chr3R	15908397	15910367	+	protein_coding	EndoU
FBgn0038237	23.3334267285521	36.4706076741112	49.7779846575285	66.127061818597	4.92626446395514	5.97682485821898	15.2085353910082	FBgn0038237	28.8315293702816	-2.24779490782807	0.53158072852625	-4.22851090569036	2.35243115430073e-05	0.000504984662924456	chr3R	14513900	14558304	-	protein_coding	Pde6
FBgn0039759	8.3333666887686	9.11765191852779	6.22224808219107	4.0077007162786	36.9469834796635	16.4362683601022	20.9772901944941	FBgn0039759	14.5773584914323	1.80918145061222	0.60887892863448	2.97133200958298	0.00296511041361655	0.0304284343869475	chr3R	30243977	30246703	-	protein_coding	CG9733
FBgn0038261	15.8333967086603	13.6764778777917	23.3334303082165	11.0211769697662	49.2626446395514	59.7682485821898	37.234690095227	FBgn0038261	30.0185807402004	1.52932276097268	0.408561014603587	3.74319307596327	0.000181696505956099	0.00292710702611958	chr3R	14798985	14801163	+	protein_coding	CG14856
FBgn0039593	20.0000800530446	27.3529557555834	10.8889341438344	22.0423539395323	80.051797539271	61.2624547967446	77.615973719628	FBgn0039593	42.7449357068055	1.88263050800607	0.365833773882333	5.14613642154209	2.65906079223878e-07	8.30452523958761e-06	chr3R	28670703	28672021	+	protein_coding	Sid
FBgn0261552	7342.52938947401	7250.05288388268	8994.25960280718	11240.0976213929	1970.50578558205	2123.26703088229	3328.04708935648	FBgn0261552	6035.53705762537	-1.77977474282197	0.151888180478647	-11.7176645161812	1.03485687630686e-31	3.8924116682307e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0038198	29.1667834106901	10.6372605716158	29.5556783904076	23.044279118602	136.703838874755	107.582847447942	98.0688316592598	FBgn0038198	62.108502781896	2.28372714822428	0.336155040009989	6.79367219410551	1.09314620218195e-11	7.4463053504536e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
